filepath,substance,n_bbox
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/330.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/090.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/210.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/150.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/450.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/060.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/360.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/240.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/300.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/180.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/570.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/480.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/120.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/510.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/420.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/390.jpg,,0
/home/tomoya/MDetToolsForJCameraTraps/sample_data/sample_session_v-clip/plot03/IMG_0020/000.jpg,,0
